value,method,risk,run,lower,upper
2.43177978670255e-4,constant,0.001,1,1.1660490724392163e-4,2.5725353019951893e-4
3.6438548495555776e-4,constant,0.001498997995991984,1,1.747133908521775e-4,3.854794419297339e-4
4.855011909427143e-4,constant,0.001997995991983968,1,2.3277051027493465e-4,5.136100426264217e-4
6.065250631674657e-4,constant,0.002496993987975952,1,2.907762565356662e-4,6.416452955337046e-4
7.274570681492904e-4,constant,0.0029959919839679357,1,3.487306206557558e-4,7.695851638768072e-4
8.482971723913846e-4,constant,0.0034949899799599196,1,4.0663359365449025e-4,8.974296108620344e-4
9.690453423806611e-4,constant,0.0039939879759519036,1,4.644851665490691e-4,0.0010251785996767697
0.0010897015445877362,constant,0.004492985971943888,1,5.222853303545937e-4,0.0011528320934894574
0.0012102657454669164,constant,0.004991983967935871,1,5.800340760840736e-4,0.0012803900554495874
0.0013307379114561946,constant,0.005490981963927856,1,6.377313947484211e-4,0.0014078524486876912
0.0014511180089772343,constant,0.005989979959919839,1,6.953772773564568e-4,0.0015352192363153239
0.0015714060044353662,constant,0.006488977955911823,1,7.529717149149011e-4,0.0016624903814250525
0.0016916018642195744,constant,0.006987975951903807,1,8.105146984283811e-4,0.001789665847090448
0.0018117055547024821,constant,0.0074869739478957914,1,8.680062188994242e-4,0.0019167455963660638
0.0019317170422403496,constant,0.007985971943887775,1,9.254462673284601e-4,0.0020437295922874354
0.002051636293173063,constant,0.00848496993987976,1,9.828348347138223e-4,0.002170617797871059
0.0021714632738241164,constant,0.008983967935871744,1,0.0010401719120517433,0.0022974101761143832
0.002291197950500613,constant,0.009482965931863728,1,0.0010974574903363564,0.0024241066899957976
0.002410840289493248,constant,0.009981963927855712,1,0.0011546915605596929,0.0025507073024746136
0.0025303902570763016,constant,0.010480961923847693,1,0.0012118741137116867,0.0026772119764910656
0.002649847819507622,constant,0.010979959919839678,1,0.001269005140780165,0.0028036206749662814
0.0027692129430286327,constant,0.011478957915831662,1,0.0013260846327508605,0.00292993336080229
